,url,bus_line_web_code,bus_line_number,bus_line_name,bus_line_enterprise
0,horarios_lineas_tabla.php?from=1&linea=806,806,0100,Granada - Jun - Urb. Abén Humeya - Víznar,"Carlos Fernández de la Torre, S.L."
1,horarios_lineas_tabla.php?from=1&linea=807,807,0101,Granada - Jun - Alfacar - Víznar,"Carlos Fernández de la Torre, S.L."
2,horarios_lineas_tabla.php?from=1&linea=639,639,0102,Granada - Jun - Alfacar,"Carlos Fernández de la Torre, S.L."
3,horarios_lineas_tabla.php?from=1&linea=653,653,0104,Urb. Abén Humeya - Jun - Urb. San Jerónimo,"Carlos Fernández de la Torre, S.L."
4,horarios_lineas_tabla.php?from=1&linea=641,641,0105,Granada - Pulianas,"Autogranadina Emp. Torres, S.L."
5,horarios_lineas_tabla.php?from=1&linea=643,643,0110,Granada - Pol. Asegra - Peligros,Tranvías Metropolitanos de Granada S.A.U.
6,horarios_lineas_tabla.php?from=1&linea=644,644,0111,Granada - Políg. de Asegra - Urb. La Joya - Peligros,Tranvías Metropolitanos de Granada S.A.U.
7,horarios_lineas_tabla.php?from=1&linea=645,645,0113,Granada - Caserío de Fonseca - Monteluz,"Autocares Martín Corral, S.L."
8,horarios_lineas_tabla.php?from=1&linea=839,839,0117,Granada - Pantano de Cubillas,"Autocares Marcos Muñoz, S.L."
9,horarios_lineas_tabla.php?from=1&linea=840,840,0120,Granada - Maracena,Tranvías Metropolitanos de Granada S.A.U.
10,horarios_lineas_tabla.php?from=1&linea=841,841,0121,Granada - Maracena (por Ctra. de Jaén),Tranvías Metropolitanos de Granada S.A.U.
11,horarios_lineas_tabla.php?from=1&linea=842,842,0122,Granada - Maracena - Albolote - Atarfe,Tranvías Metropolitanos de Granada S.A.U.
12,horarios_lineas_tabla.php?from=1&linea=914,914,0123,Granada - Polígono de Juncaril - Albolote - Urb. El Torreón (por Ctra. de Jaén),Tranvías Metropolitanos de Granada S.A.U.
13,horarios_lineas_tabla.php?from=1&linea=843,843,0125,Granada - Atarfe (por Ctra. Córdoba),Tranvías Metropolitanos de Granada S.A.U.
14,horarios_lineas_tabla.php?from=1&linea=844,844,0126,Granada - Atarfe - Medina Elvira - Urb. Los Cortijos - Caparacena,Tranvías Metropolitanos de Granada S.A.U.
15,horarios_lineas_tabla.php?from=1&linea=845,845,0140,Granada - Santa Fe,"NEX Continental Holdings, S.L.U."
16,horarios_lineas_tabla.php?from=1&linea=846,846,0150,Granada - Cúllar Vega - Vegas del Genil (por Ambroz),"NEX Continental Holdings, S.L.U."
17,horarios_lineas_tabla.php?from=1&linea=847,847,0151,Granada - Cúllar Vega - Vegas del Genil (por Belicena),"NEX Continental Holdings, S.L.U."
18,horarios_lineas_tabla.php?from=1&linea=848,848,0152,Granada - Santa Fe - Vegas del Genil - Cúllar Vega,"NEX Continental Holdings, S.L.U."
19,horarios_lineas_tabla.php?from=1&linea=849,849,0153,Granada - Cúllar Vega - Vegas del Genil-Híjar (Directo),"NEX Continental Holdings, S.L.U."
20,horarios_lineas_tabla.php?from=1&linea=931,931,0154D,Granada-Vegas del Genil (Directo),"NEX Continental Holdings, S.L.U."
21,horarios_lineas_tabla.php?from=1&linea=850,850,0155,Granada - Armilla,Tranvías Metropolitanos de Granada S.A.U.
22,horarios_lineas_tabla.php?from=1&linea=851,851,0156,Granada - Armilla - Churriana de la Vega - Las Gabias,Tranvías Metropolitanos de Granada S.A.U.
23,horarios_lineas_tabla.php?from=1&linea=929,929,0156D,Granada - Las Gabias (Directo),Tranvías Metropolitanos de Granada S.A.U.
24,horarios_lineas_tabla.php?from=1&linea=852,852,0157,Granada - Armilla - Churriana de la Vega (por A-338) - Gabia Chica,Tranvías Metropolitanos de Granada S.A.U.
25,horarios_lineas_tabla.php?from=1&linea=923,923,0159,Granada - Parque Tecnológico de la Salud - Armilla,Tranvías Metropolitanos de Granada S.A.U.
26,horarios_lineas_tabla.php?from=1&linea=920,920,0160,Granada - Alhendín - Otura,"NEX Continental Holdings, S.L.U."
27,horarios_lineas_tabla.php?from=1&linea=856,856,0170A,Granada - Ogíjares - Lomalinda,"Transportes Arana, S.L."
28,horarios_lineas_tabla.php?from=1&linea=857,857,0170B,Granada - Ogíjares - Las Pedrizas - Lomalinda,"Transportes Arana, S.L."
29,horarios_lineas_tabla.php?from=1&linea=858,858,0171,Granada - Ogíjares - Gójar - Dílar,"Transportes Arana, S.L."
30,horarios_lineas_tabla.php?from=1&linea=882,882,0174A,Granada - Ogíjares - La Zubia (Circular),"Transportes Arana, S.L."
31,horarios_lineas_tabla.php?from=1&linea=860,860,0174B,Granada - La Zubia - Ogíjares (Circular),"Autocares Framar, S.L."
32,horarios_lineas_tabla.php?from=1&linea=883,883,0175,Granada - La Zubia (Laurel de la Reina),"Autocares Framar, S.L."
33,horarios_lineas_tabla.php?from=1&linea=884,884,0176,Granada - La Zubia (Centro de Salud),"Autocares Framar, S.L."
34,horarios_lineas_tabla.php?from=1&linea=863,863,0177,Granada - La Zubia (Campo de Fútbol),"Autocares Framar, S.L."
35,horarios_lineas_tabla.php?from=1&linea=675,675,0180,Granada - Huétor Vega - Cájar - Bellavista - La Zubia,"Empresa Liñan, S.A."
36,horarios_lineas_tabla.php?from=1&linea=915,915,0181,Granada - Huétor Vega - Barrio Monachil - Bellavista,"Empresa Liñan, S.A."
37,horarios_lineas_tabla.php?from=1&linea=909,909,0182,Monachil - Barrio Monachil,"Empresa Liñan, S.A."
38,horarios_lineas_tabla.php?from=1&linea=679,679,0183,Granada - Huétor Vega - Cájar - Barrio Monachil - Monachil,"Empresa Liñan, S.A."
39,horarios_lineas_tabla.php?from=1&linea=680,680,0184,Granada - Huétor Vega - Mundo Nuevo,"Empresa Liñan, S.A."
40,horarios_lineas_tabla.php?from=1&linea=864,864,0215,Granada - Deifontes,"Autedia, S.A."
41,horarios_lineas_tabla.php?from=1&linea=865,865,0225,Granada - Pinos Puente,"NEX Continental Holdings, S.L.U."
42,horarios_lineas_tabla.php?from=1&linea=866,866,0226,Granada - Pinos Puente - Zujaira,"NEX Continental Holdings, S.L.U."
43,horarios_lineas_tabla.php?from=1&linea=867,867,0240,Granada - Santa Fe - Chauchina - Fuente Vaqueros,"NEX Continental Holdings, S.L.U."
44,horarios_lineas_tabla.php?from=1&linea=868,868,0241,Granada - Santa Fe - Chauchina - Cijuela,"NEX Continental Holdings, S.L.U."
45,horarios_lineas_tabla.php?from=1&linea=869,869,0242,Granada - Santa Fe - Chauchina - Cijuela - Láchar,"NEX Continental Holdings, S.L.U."
46,horarios_lineas_tabla.php?from=1&linea=918,918,0245,Granada-Aeropuerto,"Alsa Granada Airport, S.L."
47,horarios_lineas_tabla.php?from=1&linea=701,701,0256,Granada - La Malahá - Escúzar - Ventas de Huelma,"NEX Continental Holdings, S.L.U."
48,horarios_lineas_tabla.php?from=1&linea=871,871,0275,Granada - La Zubia - Cumbres Verdes,"Autocares Framar, S.L."
49,horarios_lineas_tabla.php?from=1&linea=703,703,0300,Granada - El Fargue - Huétor Santillán - El Colmenar - Beas de Granada,"Transportes Trinidad Nievas, S.L."
50,horarios_lineas_tabla.php?from=1&linea=704,704,0305,Granada - Pulianas - Güevéjar - Nívar - Cogollos Vega,"Autogranadina Emp. Torres, S.L."
51,horarios_lineas_tabla.php?from=1&linea=705,705,0313A,Granada - Loma Verde - Cjo. del Aire - Villas Blancas - Calicasas,"Autocares Martín Corral, S.L."
52,horarios_lineas_tabla.php?from=1&linea=698,698,0313B,Granada - Monteluz - Loma Verde - Cjo. del Aire - Villas Blancas - Calicasas,"Autocares Martín Corral, S.L."
53,horarios_lineas_tabla.php?from=1&linea=710,710,0318,Granada - Colomera,"NEX Continental Holdings, S.L.U."
54,horarios_lineas_tabla.php?from=1&linea=872,872,0323,Granada - Olivares - Tiena - Moclín - Tózar - Limones,"Autocares Rona, S.L."
55,horarios_lineas_tabla.php?from=1&linea=874,874,0325,Granada-Pinos Puente-Zujaira-Illora-Alomartes-Bracana-Tocón,"NEX Continental Holdings, S.L.U."
56,horarios_lineas_tabla.php?from=1&linea=875,875,0335,Granada - Fuente Vaqueros - Valderrubio - Escóznar - Obéilar,"Ureña e Hijos, S.L."
57,horarios_lineas_tabla.php?from=1&linea=876,876,0336,Granada - Chauchina - Fuente Vaqueros - Valderrubio - Obéilar,"Ureña e Hijos, S.L."
58,horarios_lineas_tabla.php?from=1&linea=877,877,0340,Granada - Santa Fe - Cijuela - Láchar - Trasmulas - Peñuelas - Castillo de Tajarja - El Turro,"NEX Continental Holdings, S.L.U."
59,horarios_lineas_tabla.php?from=1&linea=919,919,0345,Granada - Chimeneas - Ácula - Ventas de Huelma - Cacín,"Alsa Granada Airport, S.L."
60,horarios_lineas_tabla.php?from=1&linea=921,921,0360,Granada - Alhendín - Padul - Marchena - Durcal - Nigüelas - Talará,"NEX Continental Holdings, S.L.U."
61,horarios_lineas_tabla.php?from=1&linea=922,922,0361,Granada - Padul - Marchena - Dúrcal - Nigüelas,"NEX Continental Holdings, S.L.U."
62,horarios_lineas_tabla.php?from=1&linea=725,725,0390,Granada - Pinos Genil - Güejar Sierra,"Empresa Liñan, S.A."
63,horarios_lineas_tabla.php?from=1&linea=727,727,0395,Granada - Cenes de la Vega - Dúdar - Quéntar,"Herederos de Gómez, Interurbano"
64,horarios_lineas_tabla.php?from=1&linea=925,925,P.Lope,Granada - Pinos Puente - Venta Algarra - Puerto Lope,"NEX Continental Holdings, S.L.U."
